Tabel 1
Ploeg;Renner;Waarde;PCSNamen;
Alpecin - Deceuninck;VAN DER POEL M.;12;VAN DER POEL Mathieu;
Alpecin - Deceuninck;PHILIPSEN J.;10;PHILIPSEN Jasper;
Alpecin - Deceuninck;GROVES K.;6;GROVES Kaden;
Alpecin - Deceuninck;HERMANS Q.;5;HERMANS Quinten;
Alpecin - Deceuninck;VERMEERSCH G.;4;VERMEERSCH Gianni;
Alpecin - Deceuninck;BOVEN L.;3;BOVEN Lars;
Alpecin - Deceuninck;DEHAIRS S.;3;DEHAIRS Simon;
Alpecin - Deceuninck;DEL GROSSO T.;3;DEL GROSSO Tibor;
Alpecin - Deceuninck;DILLIER S.;3;DILLIER Silvan;
Alpecin - Deceuninck;KIELICH T.;3;KIELICH Timo;
Alpecin - Deceuninck;MEURISSE X.;3;MEURISSE Xandro;
Alpecin - Deceuninck;PLANCKAERT E.;3;PLANCKAERT Edward;
Alpecin - Deceuninck;PLOWRIGHT J.;3;PLOWRIGHT Jensen;
Alpecin - Deceuninck;RICKAERT J.;3;RICKAERT Jonas;
Alpecin - Deceuninck;RIESEBEEK O.;3;RIESEBEEK Oscar;
Alpecin - Deceuninck;UHLIG H.;3;UHLIG Henri;
Alpecin - Deceuninck;VAN TRICHT S.;3;VAN TRICHT Stan;
Alpecin - Deceuninck;VERSTRYNGE E.;3;VERSTRYNGE Emiel;
Alpecin - Deceuninck;BAYER T.;2;BAYER Tobias;
Alpecin - Deceuninck;DEBRUYNE R.;2;DEBRUYNE Ramses;
Alpecin - Deceuninck;GAZE S.;2;GAZE Samuel;
Alpecin - Deceuninck;GHYS R.;2;GHYS Robbe;
Alpecin - Deceuninck;GLIVAR G.;2;GLIVAR Gal;
Alpecin - Deceuninck;GOGL M.;2;GOGL Michael;
Alpecin - Deceuninck;HOLLMANN J.;2;HOLLMANN Juri;
Alpecin - Deceuninck;JANSSENS J.;2;JANSSENS Jimmy;
Alpecin - Deceuninck;PRICE-PEJTERSEN J.;2;PRICE-PEJTERSEN Johan;
Alpecin - Deceuninck;VAN DEN BOSSCHE F.;2;VAN DEN BOSSCHE Fabio;
Alpecin - Deceuninck;VERGALLITO L.;2;VERGALLITO Luca;
Arkéa - B&B Hotels;MOZZATO L.;6;MOZZATO Luca;
Arkéa - B&B Hotels;DEMARE A.;5;DÉMARE Arnaud;
Arkéa - B&B Hotels;VAUQUELIN K.;5;VAUQUELIN Kévin;
Arkéa - B&B Hotels;SENECHAL F.;4;SÉNÉCHAL Florian;
Arkéa - B&B Hotels;BIERMANS J.;3;BIERMANS Jenthe;
Arkéa - B&B Hotels;CAPIOT A.;3;CAPIOT Amaury;
Arkéa - B&B Hotels;COSTIOU E.;3;COSTIOU Ewen;
Arkéa - B&B Hotels;LE BERRE M.;3;LE BERRE Mathis;
Arkéa - B&B Hotels;VENTURINI C.;3;VENTURINI Clément;
Arkéa - B&B Hotels;DELAPLACE A.;2;DELAPLACE Anthony;
Arkéa - B&B Hotels;EPIS G.;2;EPIS Giosuè;
Arkéa - B&B Hotels;GARCIA PIERNA R.;2;GARCÍA PIERNA Raúl;
Arkéa - B&B Hotels;GESBERT E.;2;GESBERT Élie;
Arkéa - B&B Hotels;GRONDIN D.;2;GRONDIN Donavan;
Arkéa - B&B Hotels;GUERNALEC T.;2;GUERNALEC Thibault;
Arkéa - B&B Hotels;GUERNALEC V.;2;GUERNALEC Thibault;
Arkéa - B&B Hotels;GUGLIELMI S.;2;GUGLIELMI Simon;
Arkéa - B&B Hotels;HUYS L.;2;HUYS Laurens;
Arkéa - B&B Hotels;LOZOUET L.;2;LOZOUET Léandre;
Arkéa - B&B Hotels;RIES M.;2;RIESEBEEK Oscar;
Arkéa - B&B Hotels;RODRIGUEZ C.;2;RODRÍGUEZ Cristián;
Arkéa - B&B Hotels;ROULAND L.;2;ROULAND Louis;
Arkéa - B&B Hotels;SCOTSON M.;2;SCOTSON Miles;
Arkéa - B&B Hotels;SVESTAD-BARDSENG E.;2;SVESTAD-BÅRDSENG Embret;
Arkéa - B&B Hotels;THIERRY P.;2;THIERRY Pierre;
Arkéa - B&B Hotels;TJOTTA M.;2;TJØTTA Martin;
Arkéa - B&B Hotels;VERRE A.;2;VERRE Alessandro;
Bahrain - Victorious;MOHORIC M.;7;MOHORIČ Matej;
Bahrain - Victorious;BAUHAUS P.;5;BAUHAUS Phil;
Bahrain - Victorious;BILBAO P.;5;BILBAO Pello;
Bahrain - Victorious;BUITRAGO S.;5;BUITRAGO Santiago;
Bahrain - Victorious;TIBERI A.;5;TIBERI Antonio;
Bahrain - Victorious;HAIG J.;4;HAIG Jack;
Bahrain - Victorious;MARTINEZ L.;4;MARTINEZ Lenny;
Bahrain - Victorious;WRIGHT F.;4;PLOWRIGHT Jensen;
Bahrain - Victorious;ARNDT N.;3;ARNDT Nikias;
Bahrain - Victorious;CARUSO D.;3;CARUSO Damiano;
Bahrain - Victorious;GOVEKAR M.;3;GOVEKAR Matevž;
Bahrain - Victorious;PASQUALON A.;3;PASQUALON Andrea;
Bahrain - Victorious;STANNARD R.;3;STANNARD Robert;
